,altitude,country,get_distance_from,iata,icao,latitude,longitude,name,set_airport_details
0,326,Spain,<bound method Entity.get_distance_from of <(LECO) A Coruna Airport - Altitude: 326 - Latitude: 43.302059 - Longitude: -8.37725>>,LCG,LECO,43.302059,-8.37725,A Coruna Airport,<bound method Airport.set_airport_details of <(LECO) A Coruna Airport - Altitude: 326 - Latitude: 43.302059 - Longitude: -8.37725>>
1,626,Germany,<bound method Entity.get_distance_from of <(EDKA) Aachen Merzbruck Airport - Altitude: 626 - Latitude: 50.821899 - Longitude: 6.184759>>,AAH,EDKA,50.821899,6.184759,Aachen Merzbruck Airport,<bound method Airport.set_airport_details of <(EDKA) Aachen Merzbruck Airport - Altitude: 626 - Latitude: 50.821899 - Longitude: 6.184759>>
2,3,Denmark,<bound method Entity.get_distance_from of <(EKYT) Aalborg Airport - Altitude: 3 - Latitude: 57.095112 - Longitude: 9.855172>>,AAL,EKYT,57.095112,9.855172,Aalborg Airport,<bound method Airport.set_airport_details of <(EKYT) Aalborg Airport - Altitude: 3 - Latitude: 57.095112 - Longitude: 9.855172>>
3,71,Denmark,<bound method Entity.get_distance_from of <(EKAH) Aarhus Airport - Altitude: 71 - Latitude: 56.303295 - Longitude: 10.619129>>,AAR,EKAH,56.303295,10.619129,Aarhus Airport,<bound method Airport.set_airport_details of <(EKAH) Aarhus Airport - Altitude: 71 - Latitude: 56.303295 - Longitude: 10.619129>>
4,1,Denmark,<bound method Entity.get_distance_from of <(EKAC) Aarhus Sea Airport - Altitude: 1 - Latitude: 56.151993 - Longitude: 10.247725>>,QEA,EKAC,56.151993,10.247725,Aarhus Sea Airport,<bound method Airport.set_airport_details of <(EKAC) Aarhus Sea Airport - Altitude: 1 - Latitude: 56.151993 - Longitude: 10.247725>>
5,74,Greenland,<bound method Entity.get_distance_from of <(BGAA) Aasiaat Airport - Altitude: 74 - Latitude: 68.72184 - Longitude: -52.784698>>,JEG,BGAA,68.72184,-52.784698,Aasiaat Airport,<bound method Airport.set_airport_details of <(BGAA) Aasiaat Airport - Altitude: 74 - Latitude: 68.72184 - Longitude: -52.784698>>
6,19,Iran,<bound method Entity.get_distance_from of <(OIAA) Abadan Airport - Altitude: 19 - Latitude: 30.371111 - Longitude: 48.228329>>,ABD,OIAA,30.371111,48.228329,Abadan Airport,<bound method Airport.set_airport_details of <(OIAA) Abadan Airport - Altitude: 19 - Latitude: 30.371111 - Longitude: 48.228329>>
7,831,Russia,<bound method Entity.get_distance_from of <(UNAA) Abakan International Airport - Altitude: 831 - Latitude: 53.740002 - Longitude: 91.385002>>,ABA,UNAA,53.740002,91.385002,Abakan International Airport,<bound method Airport.set_airport_details of <(UNAA) Abakan International Airport - Altitude: 831 - Latitude: 53.740002 - Longitude: 91.385002>>
8,195,Canada,<bound method Entity.get_distance_from of <(CYXX) Abbotsford International Airport - Altitude: 195 - Latitude: 49.025269 - Longitude: -122.360001>>,YXX,CYXX,49.025269,-122.360001,Abbotsford International Airport,<bound method Airport.set_airport_details of <(CYXX) Abbotsford International Airport - Altitude: 195 - Latitude: 49.025269 - Longitude: -122.360001>>
9,8,Kiribati,<bound method Entity.get_distance_from of <(NGTB) Abemama Airport - Altitude: 8 - Latitude: 0.490833 - Longitude: 173.828598>>,AEA,NGTB,0.490833,173.828598,Abemama Airport,<bound method Airport.set_airport_details of <(NGTB) Abemama Airport - Altitude: 8 - Latitude: 0.490833 - Longitude: 173.828598>>
10,215,United Kingdom,<bound method Entity.get_distance_from of <(EGPD) Aberdeen International Airport - Altitude: 215 - Latitude: 57.201939 - Longitude: -2.19777>>,ABZ,EGPD,57.201939,-2.19777,Aberdeen International Airport,<bound method Airport.set_airport_details of <(EGPD) Aberdeen International Airport - Altitude: 215 - Latitude: 57.201939 - Longitude: -2.19777>>
11,1302,United States,<bound method Entity.get_distance_from of <(KABR) Aberdeen Regional Airport - Altitude: 1302 - Latitude: 45.439999 - Longitude: -98.419998>>,ABR,KABR,45.439999,-98.419998,Aberdeen Regional Airport,<bound method Airport.set_airport_details of <(KABR) Aberdeen Regional Airport - Altitude: 1302 - Latitude: 45.439999 - Longitude: -98.419998>>
12,6858,Saudi Arabia,<bound method Entity.get_distance_from of <(OEAB) Abha Regional Airport - Altitude: 6858 - Latitude: 18.24036 - Longitude: 42.65662>>,AHB,OEAB,18.24036,42.65662,Abha Regional Airport,<bound method Airport.set_airport_details of <(OEAB) Abha Regional Airport - Altitude: 6858 - Latitude: 18.24036 - Longitude: 42.65662>>
13,21,Ivory Coast,<bound method Entity.get_distance_from of <(DIAP) Abidjan Port Bouet Airport - Altitude: 21 - Latitude: 5.261386 - Longitude: -3.92629>>,ABJ,DIAP,5.261386,-3.92629,Abidjan Port Bouet Airport,<bound method Airport.set_airport_details of <(DIAP) Abidjan Port Bouet Airport - Altitude: 21 - Latitude: 5.261386 - Longitude: -3.92629>>
14,1790,United States,<bound method Entity.get_distance_from of <(KABI) Abilene Regional Airport - Altitude: 1790 - Latitude: 32.411301 - Longitude: -99.681801>>,ABI,KABI,32.411301,-99.681801,Abilene Regional Airport,<bound method Airport.set_airport_details of <(KABI) Abilene Regional Airport - Altitude: 1790 - Latitude: 32.411301 - Longitude: -99.681801>>
15,2088,United States,<bound method Entity.get_distance_from of <(KVJI) Abingdon Virginia Highlands Airport - Altitude: 2088 - Latitude: 36.686111 - Longitude: -82.033333>>,VJI,KVJI,36.686111,-82.033333,Abingdon Virginia Highlands Airport,<bound method Airport.set_airport_details of <(KVJI) Abingdon Virginia Highlands Airport - Altitude: 2088 - Latitude: 36.686111 - Longitude: -82.033333>>
16,16,United Arab Emirates,<bound method Entity.get_distance_from of <(OMAD) Abu Dhabi Al Bateen Executive Airport - Altitude: 16 - Latitude: 24.428329 - Longitude: 54.45808>>,AZI,OMAD,24.428329,54.45808,Abu Dhabi Al Bateen Executive Airport,<bound method Airport.set_airport_details of <(OMAD) Abu Dhabi Al Bateen Executive Airport - Altitude: 16 - Latitude: 24.428329 - Longitude: 54.45808>>
17,77,United Arab Emirates,<bound method Entity.get_distance_from of <(OMAM) Abu Dhabi Al Dhafra Air Base - Altitude: 77 - Latitude: 24.248199 - Longitude: 54.547699>>,DHF,OMAM,24.248199,54.547699,Abu Dhabi Al Dhafra Air Base,<bound method Airport.set_airport_details of <(OMAM) Abu Dhabi Al Dhafra Air Base - Altitude: 77 - Latitude: 24.248199 - Longitude: 54.547699>>
18,62,United Arab Emirates,<bound method Entity.get_distance_from of <(OMAA) Abu Dhabi Zayed International Airport - Altitude: 62 - Latitude: 24.442856 - Longitude: 54.651474>>,AUH,OMAA,24.442856,54.651474,Abu Dhabi Zayed International Airport,<bound method Airport.set_airport_details of <(OMAA) Abu Dhabi Zayed International Airport - Altitude: 62 - Latitude: 24.442856 - Longitude: 54.651474>>
19,23,Iran,<bound method Entity.get_distance_from of <(OIBA) Abu Musa Island Airport - Altitude: 23 - Latitude: 25.8757 - Longitude: 55.033001>>,AEU,OIBA,25.8757,55.033001,Abu Musa Island Airport,<bound method Airport.set_airport_details of <(OIBA) Abu Musa Island Airport - Altitude: 23 - Latitude: 25.8757 - Longitude: 55.033001>>
20,616,Egypt,<bound method Entity.get_distance_from of <(HEBL) Abu Simbel Airport - Altitude: 616 - Latitude: 22.37595 - Longitude: 31.611719>>,ABS,HEBL,22.37595,31.611719,Abu Simbel Airport,<bound method Airport.set_airport_details of <(HEBL) Abu Simbel Airport - Altitude: 616 - Latitude: 22.37595 - Longitude: 31.611719>>
21,1123,Nigeria,<bound method Entity.get_distance_from of <(DNAA) Abuja Nnamdi Azikiwe International Airport - Altitude: 1123 - Latitude: 9.006792 - Longitude: 7.263172>>,ABV,DNAA,9.006792,7.263172,Abuja Nnamdi Azikiwe International Airport,<bound method Airport.set_airport_details of <(DNAA) Abuja Nnamdi Azikiwe International Airport - Altitude: 1123 - Latitude: 9.006792 - Longitude: 7.263172>>
22,16,Mexico,<bound method Entity.get_distance_from of <(MMAA) Acapulco International Airport - Altitude: 16 - Latitude: 16.757059 - Longitude: -99.753899>>,ACA,MMAA,16.757059,-99.753899,Acapulco International Airport,<bound method Airport.set_airport_details of <(MMAA) Acapulco International Airport - Altitude: 16 - Latitude: 16.757059 - Longitude: -99.753899>>
23,205,Ghana,<bound method Entity.get_distance_from of <(DGAA) Accra Kotoka International Airport - Altitude: 205 - Latitude: 5.605186 - Longitude: -0.16678>>,ACC,DGAA,5.605186,-0.16678,Accra Kotoka International Airport,<bound method Airport.set_airport_details of <(DGAA) Accra Kotoka International Airport - Altitude: 205 - Latitude: 5.605186 - Longitude: -0.16678>>
24,1016,United States,<bound method Entity.get_distance_from of <(KADH) Ada Municipal Airport - Altitude: 1016 - Latitude: 34.804298 - Longitude: -96.671303>>,ADT,KADH,34.804298,-96.671303,Ada Municipal Airport,<bound method Airport.set_airport_details of <(KADH) Ada Municipal Airport - Altitude: 1016 - Latitude: 34.804298 - Longitude: -96.671303>>
25,18,United States,<bound method Entity.get_distance_from of <(PADK) Adak Airport - Altitude: 18 - Latitude: 51.87796 - Longitude: -176.645996>>,ADK,PADK,51.87796,-176.645996,Adak Airport,<bound method Airport.set_airport_details of <(PADK) Adak Airport - Altitude: 18 - Latitude: 51.87796 - Longitude: -176.645996>>
26,776,India,<bound method Entity.get_distance_from of <(VIAX) Adampur Airport - Altitude: 776 - Latitude: 31.433056 - Longitude: 75.760559>>,AIP,VIAX,31.433056,75.760559,Adampur Airport,<bound method Airport.set_airport_details of <(VIAX) Adampur Airport - Altitude: 776 - Latitude: 31.433056 - Longitude: 75.760559>>
27,198,Turkey,<bound method Entity.get_distance_from of <(LTAG) Adana Incirlik Airport - Altitude: 198 - Latitude: 37.001099 - Longitude: 35.424721>>,UAB,LTAG,37.001099,35.424721,Adana Incirlik Airport,<bound method Airport.set_airport_details of <(LTAG) Adana Incirlik Airport - Altitude: 198 - Latitude: 37.001099 - Longitude: 35.424721>>
28,65,Turkey,<bound method Entity.get_distance_from of <(LTAF) Adana Sakirpasa Airport - Altitude: 65 - Latitude: 36.982159 - Longitude: 35.28038>>,ADA,LTAF,36.982159,35.28038,Adana Sakirpasa Airport,<bound method Airport.set_airport_details of <(LTAF) Adana Sakirpasa Airport - Altitude: 65 - Latitude: 36.982159 - Longitude: 35.28038>>
29,7656,Ethiopia,<bound method Entity.get_distance_from of <(HAAB) Addis Ababa Bole Airport - Altitude: 7656 - Latitude: 8.977889 - Longitude: 38.799309>>,ADD,HAAB,8.977889,38.799309,Addis Ababa Bole Airport,<bound method Airport.set_airport_details of <(HAAB) Addis Ababa Bole Airport - Altitude: 7656 - Latitude: 8.977889 - Longitude: 38.799309>>
