date_time,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed
2024-05-02 14:05:32.209531,BALL,,,64300,HBAL685,,14,326,A26BC2,35032a7a,46.5329,-96.859,,0,,N255TH,,1714658727,0
2024-05-02 14:05:32.210463,B77L,FX,FDX,0,FDX5236,ANC,0,345,ABDA7D,35047e89,61.1905,-150.0032,FX5236,1,IND,N863FD,,1714658724,0
2024-05-02 14:05:32.212043,A332,AR,ARG,22975,ARG1132,MAD,431,45,E06588,35050da2,39.3099,-4.6014,AR1132,0,EZE,LV-FVH,,1714658726,-2240
2024-05-02 14:05:32.213333,C68A,,,1450,N7131V,,1,90,A989C1,3505554c,37.641,-97.4225,,0,ICT,N7131V,,1714658726,0
2024-05-02 14:05:32.214833,A35K,QR,QTR,33600,QTR91X,DFW,438,219,06A11F,35059359,34.336,-95.3694,QR731,0,DOH,A7-ANC,,1714658725,-2240
2024-05-02 14:05:32.216126,B77L,QR,QTR,0,QTR779,GRU,18,73,06A383,3505a27b,-23.4296,-46.4726,QR779,1,DOH,A7-BBF,,1714658727,0
2024-05-02 14:05:32.217393,PA46,,,24000,N45WF,BGI,241,165,A571BD,3505aa4a,-17.0944,-48.2081,,0,PUJ,N45WF,,1714658718,0
2024-05-02 14:05:32.218678,A35K,QR,QTR,39000,QTR62P,LAX,499,183,06A12D,3505aaf1,39.0521,-119.3997,QR741,0,DOH,A7-ANQ,,1714658725,0
2024-05-02 14:05:32.219916,B77W,KE,KAL,20200,KAL091,BOS,440,98,71C347,3505ad8e,42.6325,-72.2015,KE91,0,ICN,HL8347,,1714658726,-1728
2024-05-02 14:05:32.221157,B77W,EK,UAE,36000,UAE221,DFW,456,244,896451,3505b105,36.1334,-88.5901,EK221,0,DXB,A6-EQB,,1714658726,0
2024-05-02 14:05:32.222427,A35K,QR,QTR,41000,QTR25V,AKL,511,114,06A128,3505b2a9,-35.3061,170.3951,QR920,0,DOH,A7-ANL,,1714658725,64
2024-05-02 14:05:32.223670,A35K,QR,QTR,39000,QTR47H,DOH,527,148,06A11E,3505b4a3,28.9942,48.95,QR738,0,SFO,A7-ANB,,1714658726,-64
2024-05-02 14:05:32.224910,A321,B6,JBU,0,JBU815,SFO,0,298,ADD376,3505c406,37.6131,-122.3838,B6815,1,JFK,N990JL,,1714658725,0
2024-05-02 14:05:32.226172,B77W,QR,QTR,16000,QTR98P,DOH,324,118,06A2B1,3505c4c3,25.8601,51.8262,QR720,0,SEA,A7-BEM,,1714658725,0
2024-05-02 14:05:32.227416,B789,QF,QFA,39996,QFA4,AKL,464,222,7C8068,3505c54f,-25.7039,-166.9682,QF4,0,JFK,VH-ZNE,,1714658724,0
2024-05-02 14:05:32.228646,A35K,QR,QTR,41000,QTR39A,DOH,545,145,06A12B,3505d0ab,31.7628,46.7802,QR740,0,LAX,A7-ANO,,1714658726,-128
2024-05-02 14:05:32.229887,B77W,KE,KAL,36000,KAL907,LHR,495,294,71C346,3505d345,49.1508,15.5875,KE907,0,ICN,HL8346,,1714658727,0
2024-05-02 14:05:32.231141,A35K,BA,BAW,12000,BAW8,LHR,249,117,407CD1,3505d474,51.7436,-0.6086,BA8,0,HND,G-XWBL,,1714658726,0
2024-05-02 14:05:32.232364,A359,LH,DLH,5425,DLH743,MUC,227,90,3C6707,3505d887,48.5164,12.0478,LH743,0,KIX,D-AIXG,,1714658727,64
2024-05-02 14:05:32.233583,B77W,AF,AFR,33000,AFR163,CDG,451,138,3965B0,3505db6f,50.888,-0.0555,AF163,0,HND,F-GZNQ,,1714658726,0
2024-05-02 14:05:32.234852,B77W,AI,AIC,8575,AIC185,YVR,257,117,800462,3505dd2f,49.3115,-123.2757,AI185,0,DEL,VT-ALM,,1714658725,-1216
2024-05-02 14:05:32.236145,B77W,EK,UAE,11900,UAE93Q,DXB,287,205,896453,3505de42,25.6639,55.7506,EK230,0,SEA,A6-EQD,,1714658727,-1024
2024-05-02 14:05:32.237389,A35K,QR,QTR,29000,QTR12R,DOH,526,107,06A120,3505ded4,26.3547,50.7672,QR730,0,DFW,A7-AND,,1714658726,-64
2024-05-02 14:05:32.238650,B77L,AC,ACA,39000,ACA42,DEL,500,186,C023AE,3505df92,34.1053,71.5353,AC42,0,YYZ,C-FNNH,,1714658726,0
2024-05-02 14:05:32.239897,B77W,AA,AAL,37000,AAL292,DEL,560,131,A9AEBE,3505dfdd,37.2138,73.653,AA292,0,JFK,N723AN,,1714658724,0
2024-05-02 14:05:32.241134,A388,EK,UAE,41000,UAE41P,DXB,496,161,896472,3505e020,32.4163,51.4598,EK226,0,SFO,A6-EUH,,1714658726,0
2024-05-02 14:05:32.242401,A359,CX,CPA,10600,CPA257,LHR,256,282,780AC8,3505e0b9,51.6535,0.2695,CX257,0,HKG,B-LRS,,1714658725,-1088
